ds,Best Case,Worst Case,Most Likely Case
2022-04-30,289.8176051824835,268.412957661664,278.9056041193127
2022-05-01,289.5232407729636,267.4383641595556,278.59164550684915
2022-05-02,290.9853427810447,269.2645675169989,280.3010898724142
2022-05-03,289.29689549664334,268.27352686433426,279.5139919696241
2022-05-04,289.8614776927097,269.2017263961607,279.902914477088
2022-05-05,290.0608781874032,267.99417037875014,279.14895590890035
2022-05-06,290.4305021824376,267.47364941388383,278.82647579598853
2022-05-07,288.18713161299735,266.09933695515696,276.7078944150844
2022-05-08,287.743991415079,264.8063479161507,276.3939358026169
2022-05-09,288.83792921909645,266.91050761837306,278.103380168183
2022-05-10,288.6016964265066,266.7905699156076,277.3162822653919
2022-05-11,288.7041572174769,267.20846378503705,277.70520477285487
2022-05-12,287.31769738063593,266.6516213002123,276.9512462046664
2022-05-13,288.2087865962734,265.733561856929,276.62876609175134
2022-05-14,285.3801643634306,264.1043813876679,274.5101847108519
2022-05-15,284.4899656388454,263.4161301366929,274.1962260983876
2022-05-16,287.0218254255362,264.1411727379639,275.90567046395176
2022-05-17,285.55097939968636,263.9312730160077,275.1185725611599
2022-05-18,287.2807584983891,265.1685148477751,275.50749506862223
2022-05-19,286.2348717303456,264.12206514235186,274.75353650043445
2022-05-20,284.7490719806128,264.00624023295296,274.4310563875199
2022-05-21,283.15176552364346,261.92241950306493,272.3124750066159
2022-05-22,282.9928314674635,260.99841331241714,271.99851639415226
2022-05-23,284.90283633165706,262.8607179493635,273.7079607597137
2022-05-24,284.1319185048232,262.7127804872658,272.92086285692596
2022-05-25,284.12342807412836,261.9245467547686,273.30978536438965
2022-05-26,283.1242513682733,262.14426935644576,272.5558267962016
2022-05-27,282.89429893969105,261.5732921299088,272.2333466832857
2022-05-28,281.79800003771226,259.18556178237975,270.11476530238673
2022-05-29,280.77972116070066,258.91517748998876,269.8008066899178
